"","variable","n","mean","variance","clinic_name"
"34","ct_result",2,45,0,"3  laboratory"
"35","gendermale",2,0.5,0.5,"3  laboratory"
"36","age",2,13,8,"3  laboratory"
"37","drive_thru_ind_factor1",2,0,0,"3  laboratory"
"38","std_ct_result",2,0.222408311948575,0,"3  laboratory"
"39","std_age",2,-0.0718474918295025,0.0294803054309122,"3  laboratory"
"40","log_ct_result",2,3.80666248977032,0,"3  laboratory"
"41","log_age",2,2.55297273695029,0.0480980397755799,"3  laboratory"
"42","ct_result_sq",2,2025,0,"3  laboratory"
"43","age_sq",2,173,5408,"3  laboratory"
"44","resultpositiveXct_result",2,0,0,"3  laboratory"
"45","resultpositiveXgendermale",2,0,0,"3  laboratory"
"46","resultpositiveXage",2,0,0,"3  laboratory"
"47","resultpositiveXdrive_thru_ind_factor1",2,0,0,"3  laboratory"
"48","resultpositiveXstd_ct_result",2,0,0,"3  laboratory"
"49","resultpositiveXstd_age",2,0,0,"3  laboratory"
"50","ct_resultXgendermale",2,22.5,1012.5,"3  laboratory"
"51","ct_resultXage",2,585,16200,"3  laboratory"
"52","ct_resultXdrive_thru_ind_factor1",2,0,0,"3  laboratory"
"53","ct_resultXstd_ct_result",2,10.0083740376859,0,"3  laboratory"
"54","ct_resultXstd_age",2,-3.23313713232761,59.6976184975971,"3  laboratory"
"55","gendermaleXage",2,5.5,60.5,"3  laboratory"
"56","gendermaleXdrive_thru_ind_factor1",2,0,0,"3  laboratory"
"57","gendermaleXstd_ct_result",2,0.111204155974287,0.0247327286119073,"3  laboratory"
"58","gendermaleXstd_age",2,-0.0966282612234498,0.0186740417341345,"3  laboratory"
"59","ageXdrive_thru_ind_factor1",2,0,0,"3  laboratory"
"60","ageXstd_ct_result",2,2.89130805533147,0.395723657790516,"3  laboratory"
"61","ageXstd_age",2,-0.691199332548738,4.11628294360931,"3  laboratory"
"62","drive_thru_ind_factor1Xstd_ct_result",2,0,0,"3  laboratory"
"63","drive_thru_ind_factor1Xstd_age",2,0,0,"3  laboratory"
"64","std_ct_resultXstd_age",2,-0.0159794793755387,0.00145825678723777,"3  laboratory"
"65","resultpositive",3,0,0,"anes resource ctr"
"66","ct_result",3,45,0,"anes resource ctr"
"67","gendermale",3,0.666666666666667,0.333333333333333,"anes resource ctr"
"68","age",3,11.4,215.08,"anes resource ctr"
"69","drive_thru_ind_factor1",3,0,0,"anes resource ctr"
"70","std_ct_result",3,0.222408311948575,0,"anes resource ctr"
"71","std_age",3,-0.16897471632342,0.792578011510073,"anes resource ctr"
"72","log_ct_result",3,3.80666248977032,0,"anes resource ctr"
"73","log_age",3,1.17150868898972,6.39349073102269,"anes resource ctr"
"74","ct_result_sq",3,2025,0,"anes resource ctr"
"75","age_sq",3,273.346666666667,195898.400533333,"anes resource ctr"
"76","resultpositiveXct_result",3,0,0,"anes resource ctr"
"77","resultpositiveXgendermale",3,0,0,"anes resource ctr"
"78","resultpositiveXage",3,0,0,"anes resource ctr"
"79","resultpositiveXdrive_thru_ind_factor1",3,0,0,"anes resource ctr"
"80","resultpositiveXstd_ct_result",3,0,0,"anes resource ctr"
"81","resultpositiveXstd_age",3,0,0,"anes resource ctr"
"82","ct_resultXgendermale",3,30,675,"anes resource ctr"
"83","ct_resultXage",3,513,435537,"anes resource ctr"
"84","ct_resultXdrive_thru_ind_factor1",3,0,0,"anes resource ctr"
"85","ct_resultXstd_ct_result",3,10.0083740376859,0,"anes resource ctr"
"86","ct_resultXstd_age",3,-7.60386223455391,1604.9704733079,"anes resource ctr"
"87","gendermaleXage",3,9.4,259.48,"anes resource ctr"
"88","gendermaleXdrive_thru_ind_factor1",3,0,0,"anes resource ctr"
"89","gendermaleXstd_ct_result",3,0.148272207965716,0.0164884857412715,"anes resource ctr"
"90","gendermaleXstd_age",3,-0.00338168332662273,0.711994803374908,"anes resource ctr"
"91","ageXdrive_thru_ind_factor1",3,0,0,"anes resource ctr"
"92","ageXstd_ct_result",3,2.53545475621375,10.639030539698,"anes resource ctr"
"93","ageXstd_age",3,6.77790633564294,211.299642341295,"anes resource ctr"
"94","drive_thru_ind_factor1Xstd_ct_result",3,0,0,"anes resource ctr"
"95","drive_thru_ind_factor1Xstd_age",3,0,0,"anes resource ctr"
"96","std_ct_resultXstd_age",3,-0.0375813814194812,0.0392052337248875,"anes resource ctr"
"97","resultpositive",6,0,0,"autopsy"
"98","ct_result",6,45,0,"autopsy"
"99","gendermale",6,1,0,"autopsy"
"100","age",6,9.2,92.94,"autopsy"
"101","drive_thru_ind_factor1",6,0,0,"autopsy"
"102","std_ct_result",6,0.222408311948575,0,"autopsy"
"103","std_age",6,-0.302524650002557,0.342487448343622,"autopsy"
"104","log_ct_result",6,3.80666248977032,0,"autopsy"
"105","log_age",6,0.958724006878438,4.54157604266997,"autopsy"
"106","ct_result_sq",6,2025,0,"autopsy"
"107","age_sq",6,162.09,31457.82744,"autopsy"
"108","resultpositiveXct_result",6,0,0,"autopsy"
"109","resultpositiveXgendermale",6,0,0,"autopsy"
"110","resultpositiveXage",6,0,0,"autopsy"
"111","resultpositiveXdrive_thru_ind_factor1",6,0,0,"autopsy"
"112","resultpositiveXstd_ct_result",6,0,0,"autopsy"
"113","resultpositiveXstd_age",6,0,0,"autopsy"
"114","ct_resultXgendermale",6,45,0,"autopsy"
"115","ct_resultXage",6,414,188203.5,"autopsy"
"116","ct_resultXdrive_thru_ind_factor1",6,0,0,"autopsy"
"117","ct_resultXstd_ct_result",6,10.0083740376859,0,"autopsy"
"118","ct_resultXstd_age",6,-13.6136092501151,693.537082895834,"autopsy"
"119","gendermaleXage",6,9.2,92.94,"autopsy"
"120","gendermaleXdrive_thru_ind_factor1",6,0,0,"autopsy"
"121","gendermaleXstd_ct_result",6,0.222408311948575,0,"autopsy"
"122","gendermaleXstd_age",6,-0.302524650002557,0.342487448343622,"autopsy"
"123","ageXdrive_thru_ind_factor1",6,0,0,"autopsy"
"124","ageXstd_ct_result",6,2.04615646992689,4.59731959438132,"autopsy"
"125","ageXstd_age",6,1.91833793063518,6.09260018780636,"autopsy"
"126","drive_thru_ind_factor1Xstd_ct_result",6,0,0,"autopsy"
"127","drive_thru_ind_factor1Xstd_age",6,0,0,"autopsy"
"128","std_ct_resultXstd_age",6,-0.0672839967299021,0.0169412982257348,"autopsy"
"129","resultpositive",90,0.311111111111111,0.216729088639201,"behavioral hosp"
"130","ct_result",90,40.562,60.4306970786517,"behavioral hosp"
"131","gendermale",90,0.511111111111111,0.252684144818976,"behavioral hosp"
"132","age",90,18.7522222222222,407.199152309613,"behavioral hosp"
"133","drive_thru_ind_factor1",90,0,0,"behavioral hosp"
"134","std_ct_result",90,-0.884409561280344,3.75867984733994,"behavioral hosp"
"135","std_age",90,0.277338370118423,1.50054442266199,"behavioral hosp"
"136","log_ct_result",90,3.67866526341186,0.0565693166133321,"behavioral hosp"
"137","log_age",90,2.20795447997954,2.68035527140894,"behavioral hosp"
"138","ct_result_sq",90,1705.03508888889,287016.101766194,"behavioral hosp"
"139","age_sq",90,754.320555555556,2945244.26933115,"behavioral hosp"
"140","resultpositiveXct_result",90,9.562,221.059461123595,"behavioral hosp"
"141","resultpositiveXgendermale",90,0.188888888888889,0.154931335830212,"behavioral hosp"
"142","resultpositiveXage",90,4.43333333333333,45.2595505617978,"behavioral hosp"
"143","resultpositiveXdrive_thru_ind_factor1",90,0,0,"behavioral hosp"
"144","resultpositiveXstd_ct_result",90,-1.03762417617825,3.42642830071779,"behavioral hosp"
"145","resultpositiveXstd_age",90,0.00125475849531534,0.00460982310775303,"behavioral hosp"
"146","ct_resultXgendermale",90,20.2692222222222,432.044625230961,"behavioral hosp"
"147","ct_resultXage",90,781.290444444444,861584.267022272,"behavioral hosp"
"148","ct_resultXdrive_thru_ind_factor1",90,0,0,"behavioral hosp"
"149","ct_resultXstd_ct_result",90,-20.9697251911954,2405.59826317812,"behavioral hosp"
"150","ct_resultXstd_age",90,12.5037246323608,3032.69498447591,"behavioral hosp"
"151","gendermaleXage",90,13.4555555555556,458.31822721598,"behavioral hosp"
"152","gendermaleXdrive_thru_ind_factor1",90,0,0,"behavioral hosp"
"153","gendermaleXstd_ct_result",90,-0.567368726242536,2.46656511766438,"behavioral hosp"
"154","gendermaleXstd_age",90,0.376743147334168,1.18086392512102,"behavioral hosp"
"155","ageXdrive_thru_ind_factor1",90,0,0,"behavioral hosp"
"156","ageXstd_ct_result",90,-11.4314306290962,814.981362625962,"behavioral hosp"
"157","ageXstd_age",90,29.644884286999,7666.24429121378,"behavioral hosp"
"158","drive_thru_ind_factor1Xstd_ct_result",90,0,0,"behavioral hosp"
"159","drive_thru_ind_factor1Xstd_age",90,0,0,"behavioral hosp"
"160","std_ct_resultXstd_age",90,0.0675426518784514,0.146269532773547,"behavioral hosp"
"161","resultpositive",2,0,0,"cardiac echo"
"162","ct_result",2,45,0,"cardiac echo"
"163","gendermale",2,0,0,"cardiac echo"
"164","age",2,3,0,"cardiac echo"
"165","drive_thru_ind_factor1",2,0,0,"cardiac echo"
"166","std_ct_result",2,0.222408311948575,0,"cardiac echo"
"167","std_age",2,-0.678892644916488,0,"cardiac echo"
"168","log_ct_result",2,3.80666248977032,0,"cardiac echo"
"169","log_age",2,1.09861228866811,0,"cardiac echo"
"170","ct_result_sq",2,2025,0,"cardiac echo"
"171","age_sq",2,9,0,"cardiac echo"
"172","resultpositiveXct_result",2,0,0,"cardiac echo"
"173","resultpositiveXgendermale",2,0,0,"cardiac echo"
"174","resultpositiveXage",2,0,0,"cardiac echo"
"175","resultpositiveXdrive_thru_ind_factor1",2,0,0,"cardiac echo"
"176","resultpositiveXstd_ct_result",2,0,0,"cardiac echo"
"177","resultpositiveXstd_age",2,0,0,"cardiac echo"
"178","ct_resultXgendermale",2,0,0,"cardiac echo"
"179","ct_resultXage",2,135,0,"cardiac echo"
"180","ct_resultXdrive_thru_ind_factor1",2,0,0,"cardiac echo"
"181","ct_resultXstd_ct_result",2,10.0083740376859,0,"cardiac echo"
"182","ct_resultXstd_age",2,-30.550169021242,0,"cardiac echo"
"183","gendermaleXage",2,0,0,"cardiac echo"
"184","gendermaleXdrive_thru_ind_factor1",2,0,0,"cardiac echo"
"185","gendermaleXstd_ct_result",2,0,0,"cardiac echo"
"186","gendermaleXstd_age",2,0,0,"cardiac echo"
"187","ageXdrive_thru_ind_factor1",2,0,0,"cardiac echo"
"188","ageXstd_ct_result",2,0.667224935845724,0,"cardiac echo"
"189","ageXstd_age",2,-2.03667793474946,0,"cardiac echo"
"190","drive_thru_ind_factor1Xstd_ct_result",2,0,0,"cardiac echo"
"191","drive_thru_ind_factor1Xstd_age",2,0,0,"cardiac echo"
"192","std_ct_resultXstd_age",2,-0.150991367150179,0,"cardiac echo"
"193","resultpositive",7,0,0,"cardiac ekg"
"194","ct_result",7,45,0,"cardiac ekg"
"195","gendermale",7,0.571428571428571,0.285714285714286,"cardiac ekg"
"196","age",7,7.41428571428571,76.4547619047619,"cardiac ekg"
"197","drive_thru_ind_factor1",7,0,0,"cardiac ekg"
"198","std_ct_result",7,0.222408311948575,0,"cardiac ekg"
"199","std_age",7,-0.410925570196662,0.281738716575006,"cardiac ekg"
"200","log_ct_result",7,3.80666248977032,0,"cardiac ekg"
"201","log_age",7,0.905129279054053,3.35230341361013,"cardiac ekg"
"202","ct_result_sq",7,2025,0,"cardiac ekg"
"203","age_sq",7,120.504285714286,29851.0435952381,"cardiac ekg"
"204","resultpositiveXct_result",7,0,0,"cardiac ekg"
"205","resultpositiveXgendermale",7,0,0,"cardiac ekg"
"206","resultpositiveXage",7,0,0,"cardiac ekg"
"207","resultpositiveXdrive_thru_ind_factor1",7,0,0,"cardiac ekg"
"208","resultpositiveXstd_ct_result",7,0,0,"cardiac ekg"
"209","resultpositiveXstd_age",7,0,0,"cardiac ekg"
"210","ct_resultXgendermale",7,25.7142857142857,578.571428571429,"cardiac ekg"
"211","ct_resultXage",7,333.642857142857,154820.892857143,"cardiac ekg"
"212","ct_resultXdrive_thru_ind_factor1",7,0,0,"cardiac ekg"
"213","ct_resultXstd_ct_result",7,10.0083740376859,0,"cardiac ekg"
"214","ct_resultXstd_age",7,-18.4916506588498,570.520901064387,"cardiac ekg"
"215","gendermaleXage",7,4.84285714285714,70.2261904761905,"cardiac ekg"
"216","gendermaleXdrive_thru_ind_factor1",7,0,0,"cardiac ekg"
"217","gendermaleXstd_ct_result",7,0.127090463970614,0.0141329877782327,"cardiac ekg"
"218","gendermaleXstd_age",7,-0.198020242057922,0.217473801479455,"cardiac ekg"
"219","ageXdrive_thru_ind_factor1",7,0,0,"cardiac ekg"
"220","ageXstd_ct_result",7,1.64899877001872,3.78186975455692,"cardiac ekg"
"221","ageXstd_age",7,0.931408356230915,12.7860969633108,"cardiac ekg"
"222","drive_thru_ind_factor1Xstd_ct_result",7,0,0,"cardiac ekg"
"223","drive_thru_ind_factor1Xstd_age",7,0,0,"cardiac ekg"
"224","std_ct_resultXstd_age",7,-0.091393262403945,0.0139363344330334,"cardiac ekg"
"225","resultpositive",3,0.333333333333333,0.333333333333333,"cardiology"
"226","ct_result",3,42.4466666666667,19.5585333333333,"cardiology"
"227","gendermale",3,0.333333333333333,0.333333333333333,"cardiology"
"228","age",3,1.83333333333333,7.52333333333333,"cardiology"
"229","drive_thru_ind_factor1",3,0,0,"cardiology"
"230","std_ct_result",3,-0.41438190203171,1.21650532986317,"cardiology"
"231","std_age",3,-0.749714579443303,0.0277237705656537,"cardiology"
"232","log_ct_result",3,3.74446337255141,0.0116061905484368,"cardiology"
"233","log_age",3,-0.401324268108645,3.07347389849905,"cardiology"
"234","ct_result_sq",3,1814.75853333333,132604.422918453,"cardiology"
"235","age_sq",3,8.37666666666667,207.252033333333,"cardiology"
"236","resultpositiveXct_result",3,12.4466666666667,464.758533333333,"cardiology"
"237","resultpositiveXgendermale",3,0,0,"cardiology"
"238","resultpositiveXage",3,0.1,0.03,"cardiology"
"239","resultpositiveXdrive_thru_ind_factor1",3,0,0,"cardiology"
"240","resultpositiveXstd_ct_result",3,-0.562654109997426,0.949738942490988,"cardiology"
"241","resultpositiveXstd_age",3,-0.280931612083325,0.236767712003207,"cardiology"
"242","ct_resultXgendermale",3,15,675,"cardiology"
"243","ct_resultXage",3,81.734,15395.072268,"cardiology"
"244","ct_resultXdrive_thru_ind_factor1",3,0,0,"cardiology"
"245","ct_resultXstd_ct_result",3,-14.3372551088467,1778.12897562148,"cardiology"
"246","ct_resultXstd_age",3,-31.5852199263904,42.9922490970501,"cardiology"
"247","gendermaleXage",3,0.0666666666666667,0.0133333333333333,"cardiology"
"248","gendermaleXdrive_thru_ind_factor1",3,0,0,"cardiology"
"249","gendermaleXstd_ct_result",3,0.0741361039828582,0.0164884857412715,"cardiology"
"250","gendermaleXstd_age",3,-0.282955095926948,0.240190758933085,"cardiology"
"251","ageXdrive_thru_ind_factor1",3,0,0,"cardiology"
"252","ageXstd_ct_result",3,0.216711507711635,0.677076465316466,"cardiology"
"253","ageXstd_age",3,-1.07000985997554,2.21384318863883,"cardiology"
"254","drive_thru_ind_factor1Xstd_ct_result",3,0,0,"cardiology"
"255","drive_thru_ind_factor1Xstd_age",3,0,0,"cardiology"
"256","std_ct_resultXstd_age",3,0.369940750059879,0.832127939368182,"cardiology"
"257","resultpositive",229,0.104803493449782,0.0942312112158125,"care ntwk"
"258","ct_result",229,43.246768558952,32.4455149505861,"care ntwk"
"259","gendermale",229,0.458515283842795,0.249367961388187,"care ntwk"
"260","age",229,7.54585152838428,44.1695112234735,"care ntwk"
"261","drive_thru_ind_factor1",229,0.0262008733624454,0.0256262928062514,"care ntwk"
"262","std_ct_result",229,-0.214839974409888,2.01805223300025,"care ntwk"
"263","std_age",229,-0.402938931220614,0.162766335200263,"care ntwk"
"264","log_ct_result",229,3.75428024716223,0.0308040547061321,"care ntwk"
"265","log_age",229,-Inf,0,"care ntwk"
"266","ct_result_sq",229,1902.58682227074,150947.833266052,"care ntwk"
"267","age_sq",229,100.916506550218,22307.8421316019,"care ntwk"
"268","resultpositiveXct_result",229,2.96292576419214,81.3903839462193,"care ntwk"
"269","resultpositiveXgendermale",229,0.0436681222707424,0.0419443806021604,"care ntwk"
"270","resultpositiveXage",229,1.04934497816594,15.1197912357312,"care ntwk"
"271","resultpositiveXdrive_thru_ind_factor1",229,0.00873362445414847,0.00869531908373554,"care ntwk"
"272","resultpositiveXstd_ct_result",229,-0.413939118293983,1.84783825697731,"care ntwk"
"273","resultpositiveXstd_age",229,-0.026536478391012,0.0269468732455547,"care ntwk"
"274","ct_resultXgendermale",229,19.9224454148472,483.222041362139,"care ntwk"
"275","ct_resultXage",229,323.50572489083,82551.9156071038,"care ntwk"
"276","ct_resultXdrive_thru_ind_factor1",229,1.04528384279476,42.4140390638167,"care ntwk"
"277","ct_resultXstd_ct_result",229,-1.23469975755972,1199.65586076561,"care ntwk"
"278","ct_resultXstd_age",229,-17.5974772341071,312.765501309896,"care ntwk"
"279","gendermaleXage",229,3.37554585152838,31.9063291963533,"care ntwk"
"280","gendermaleXdrive_thru_ind_factor1",229,0.00436681222707424,0.00436681222707424,"care ntwk"
"281","gendermaleXstd_ct_result",229,-0.0752784386548707,0.780573281159834,"care ntwk"
"282","gendermaleXstd_age",229,-0.189873623165272,0.110534599660717,"care ntwk"
"283","ageXdrive_thru_ind_factor1",229,0.139737991266376,1.93652800122577,"care ntwk"
"284","ageXstd_ct_result",229,-2.32643388642114,264.049183313161,"care ntwk"
"285","ageXstd_age",229,-0.370937264339729,20.5073318275519,"care ntwk"
"286","drive_thru_ind_factor1Xstd_ct_result",229,-0.0275307368542373,0.12948698484097,"care ntwk"
"287","drive_thru_ind_factor1Xstd_age",229,-0.0140763871405116,0.0118467377091456,"care ntwk"
"288","std_ct_resultXstd_age",229,0.0437535065344487,0.690784368477256,"care ntwk"
"289","resultpositive",96,0.125,0.110526315789474,"cc care ntwk"
"290","ct_result",96,42.9822916666667,34.3235252192982,"cc care ntwk"
"291","gendermale",96,0.552083333333333,0.249890350877193,"cc care ntwk"
"292","age",96,8.51875,53.3756447368421,"cc care ntwk"
"293","drive_thru_ind_factor1",96,0.0104166666666667,0.0104166666666667,"cc care ntwk"
"294","std_ct_result",96,-0.280799359591819,2.13486106843233,"cc care ntwk"
"295","std_age",96,-0.343879601056608,0.196691288676746,"cc care ntwk"
"296","log_ct_result",96,3.74782494481636,0.0311928686031308,"cc care ntwk"
"297","log_age",96,-Inf,0,"cc care ntwk"
"298","ct_result_sq",96,1881.44338541667,165267.013198337,"cc care ntwk"
"299","age_sq",96,125.38875,29381.5893205263,"cc care ntwk"
"300","resultpositiveXct_result",96,3.60729166666667,97.5722094298246,"cc care ntwk"
"301","resultpositiveXgendermale",96,0.0729166666666667,0.0683114035087719,"cc care ntwk"
"302","resultpositiveXage",96,1.00208333333333,12.4989429824561,"cc care ntwk"
"303","resultpositiveXdrive_thru_ind_factor1",96,0.0104166666666667,0.0104166666666667,"cc care ntwk"
"304","resultpositiveXstd_ct_result",96,-0.475406632546821,1.94241091837607,"cc care ntwk"
"305","resultpositiveXstd_age",96,-0.046794790806398,0.0353731782226324,"cc care ntwk"
"306","ct_resultXgendermale",96,23.8923958333333,481.406443673246,"cc care ntwk"
"307","ct_resultXage",96,367.957145833333,104650.218592484,"cc care ntwk"
"308","ct_resultXdrive_thru_ind_factor1",96,0.219791666666667,4.63760416666667,"cc care ntwk"
"309","ct_resultXstd_ct_result",96,-3.59843035869945,1395.83640947034,"cc care ntwk"
"310","ct_resultXstd_age",96,-14.671359029417,376.957263279624,"cc care ntwk"
"311","gendermaleXage",96,4.85729166666667,47.879735745614,"cc care ntwk"
"312","gendermaleXdrive_thru_ind_factor1",96,0,0,"cc care ntwk"
"313","gendermaleXstd_ct_result",96,-0.114475663951773,0.843678021862196,"cc care ntwk"
"314","gendermaleXstd_age",96,-0.180487631523029,0.131865796548322,"cc care ntwk"
"315","ageXdrive_thru_ind_factor1",96,0.0208333333333333,0.0416666666666667,"cc care ntwk"
"316","ageXstd_ct_result",96,-1.9427112655861,215.76772558313,"cc care ntwk"
"317","ageXstd_age",96,0.276966805673316,26.1030675425735,"cc care ntwk"
"318","drive_thru_ind_factor1Xstd_ct_result",96,-0.0597723709106565,0.342982687130985,"cc care ntwk"
"319","drive_thru_ind_factor1Xstd_age",96,-0.00770413708567903,0.00569795791055376,"cc care ntwk"
"320","std_ct_resultXstd_age",96,0.123838641231036,0.777209853682857,"cc care ntwk"
"321","resultpositive",7358,0.0621092688230497,0.058259625410883,"clinical lab"
"322","ct_result",7358,43.9797662408263,18.7037247516561,"clinical lab"
"323","gendermale",7358,0.496738244088067,0.250023340744612,"clinical lab"
"324","age",7358,17.9773036151128,261.420506959865,"clinical lab"
"325","drive_thru_ind_factor1",7358,0.999048654525686,0.000950569604686666,"clinical lab"
"326","std_ct_result",7358,-0.0320335446365912,1.16333778514494,"clinical lab"
"327","std_age",7358,0.230297311670153,0.963344548885088,"clinical lab"
"328","log_ct_result",7358,3.77654038756831,0.0176368920192432,"clinical lab"
"329","log_age",7358,-Inf,0,"clinical lab"
"330","ct_result_sq",7358,1952.92102139168,88460.015910785,"clinical lab"
"331","age_sq",7358,584.568423484643,789131.408177098,"clinical lab"
"332","resultpositiveXct_result",7358,1.77675319380266,50.7126082008699,"clinical lab"
"333","resultpositiveXgendermale",7358,0.0290839902147323,0.0282419499923946,"clinical lab"
"334","resultpositiveXage",7358,1.44501223158467,48.2745972473697,"clinical lab"
"335","resultpositiveXdrive_thru_ind_factor1",7358,0.0621092688230497,0.058259625410883,"clinical lab"
"336","resultpositiveXstd_ct_result",7358,-0.240112025892543,1.05953668335266,"clinical lab"
"337","resultpositiveXstd_age",7358,0.0342423021681362,0.0793931581968727,"clinical lab"
"338","ct_resultXgendermale",7358,21.8784683337864,493.774782307751,"clinical lab"
"339","ct_resultXage",7358,785.184944414243,508498.81205018,"clinical lab"
"340","ct_resultXdrive_thru_ind_factor1",7358,43.9369556944822,20.541262798363,"clinical lab"
"341","ct_resultXstd_ct_result",7358,3.25516574320884,729.110672448948,"clinical lab"
"342","ct_resultXstd_age",7358,9.79742047319292,1867.83449069324,"clinical lab"
"343","gendermaleXage",7358,8.89240282685512,210.58618530896,"clinical lab"
"344","gendermaleXdrive_thru_ind_factor1",7358,0.496330524599076,0.2500205143624,"clinical lab"
"345","gendermaleXstd_ct_result",7358,-0.00792252913525185,0.544627128428493,"clinical lab"
"346","gendermaleXstd_age",7358,0.112114300145841,0.49349387949973,"clinical lab"
"347","ageXdrive_thru_ind_factor1",7358,17.9516172873063,261.339708543466,"clinical lab"
"348","ageXstd_ct_result",7358,-1.93574796728586,937.689902943576,"clinical lab"
"349","ageXstd_age",7358,20.0073731051364,1681.43789242197,"clinical lab"
"350","drive_thru_ind_factor1Xstd_ct_result",7358,-0.0322451317776132,1.16327711761959,"clinical lab"
"351","drive_thru_ind_factor1Xstd_age",7358,0.229557149933616,0.96196599806723,"clinical lab"
"352","std_ct_resultXstd_age",7358,-0.0899275618671494,1.51809627498439,"clinical lab"
"353","resultpositive",5,0.4,0.3,"department of anatomic pathology"
"354","ct_result",5,37.722,99.40352,"department of anatomic pathology"
"355","gendermale",5,0.6,0.3,"department of anatomic pathology"
"356","age",5,16.8,1411.2,"department of anatomic pathology"
"357","drive_thru_ind_factor1",5,0,0,"department of anatomic pathology"
"358","std_ct_result",5,-1.5926931935404,6.18271880750228,"department of anatomic pathology"
"359","std_age",5,0.158829666343552,5.2003258780129,"department of anatomic pathology"
"360","log_ct_result",5,3.5993849234099,0.0806773485424375,"department of anatomic pathology"
"361","log_age",5,-Inf,0,"department of anatomic pathology"
"362","ct_result_sq",5,1502.4721,512188.87686123,"department of anatomic pathology"
"363","age_sq",5,1411.2,9957427.2,"department of anatomic pathology"
"364","resultpositiveXct_result",5,10.722,215.63852,"department of anatomic pathology"
"365","resultpositiveXgendermale",5,0.4,0.3,"department of anatomic pathology"
"366","resultpositiveXage",5,0,0,"department of anatomic pathology"
"367","resultpositiveXdrive_thru_ind_factor1",5,0,0,"department of anatomic pathology"
"368","resultpositiveXstd_ct_result",5,-1.72613818070954,5.59201795189275,"department of anatomic pathology"
"369","resultpositiveXstd_age",5,-0.344402476337034,0.222399498200777,"department of anatomic pathology"
"370","ct_resultXgendermale",5,19.722,379.39352,"department of anatomic pathology"
"371","ct_resultXage",5,756,2857680,"department of anatomic pathology"
"372","ct_resultXdrive_thru_ind_factor1",5,0,0,"department of anatomic pathology"
"373","ct_resultXstd_ct_result",5,-40.2469286453126,4735.97502937248,"department of anatomic pathology"
"374","ct_resultXstd_age",5,13.4137380424122,9885.39684456476,"department of anatomic pathology"
"375","gendermaleXage",5,0,0,"department of anatomic pathology"
"376","gendermaleXdrive_thru_ind_factor1",5,0,0,"department of anatomic pathology"
"377","gendermaleXstd_ct_result",5,-1.68165651831983,5.79386478281831,"department of anatomic pathology"
"378","gendermaleXstd_age",5,-0.51660371450555,0.222399498200777,"department of anatomic pathology"
"379","ageXdrive_thru_ind_factor1",5,0,0,"department of anatomic pathology"
"380","ageXstd_ct_result",5,3.73645964073606,69.805653234247,"department of anatomic pathology"
"381","ageXstd_age",5,71.20130799748,25348.1313027601,"department of anatomic pathology"
"382","drive_thru_ind_factor1Xstd_ct_result",5,0,0,"department of anatomic pathology"
