"","resultpositive","ct_result","gendermale","age","drive_thru_ind_factor1","std_ct_result","std_age","log_ct_result","log_age","ct_result_sq","age_sq","resultpositiveXct_result","resultpositiveXgendermale","resultpositiveXage","resultpositiveXdrive_thru_ind_factor1","resultpositiveXstd_ct_result","resultpositiveXstd_age","ct_resultXgendermale","ct_resultXage","ct_resultXdrive_thru_ind_factor1","ct_resultXstd_ct_result","ct_resultXstd_age","gendermaleXage","gendermaleXdrive_thru_ind_factor1","gendermaleXstd_ct_result","gendermaleXstd_age","ageXdrive_thru_ind_factor1","ageXstd_ct_result","ageXstd_age","drive_thru_ind_factor1Xstd_ct_result","drive_thru_ind_factor1Xstd_age","std_ct_resultXstd_age","clinic_name"
"age_sq",0,0,31.3333333333333,354.666666666667,-17.3333333333333,0,21.5298680961518,0,36.248673283013,0,7301.33333333333,0,0,0,0,0,0,1410,15960,-780,0,968.844064326829,542.666666666667,-17.3333333333333,6.96879377438867,5.9641229944528,-138.666666666667,78.8808146377612,137.853705421741,-3.85507740710863,6.50641451846525,4.78842161974059,"1 laboratory"
"resultpositiveXct_result",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
"resultpositiveXgendermale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
"resultpositiveXage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
"resultpositiveXdrive_thru_ind_factor1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
"resultpositiveXstd_ct_result",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
"resultpositiveXstd_age",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
"ct_resultXgendermale",0,0,15,75,7.5,0,4.55283864815239,0,8.51234949629238,0,1410,0,0,0,0,0,0,675,3375,337.5,0,204.877739166858,165,7.5,3.33612467922862,-2.89884783670349,60,16.6806233961431,21.0179022720712,1.66806233961431,-2.81527551279746,1.0125891583098,"1 laboratory"
"ct_resultXage",0,0,75,780,-30,0,47.3495219407849,0,80.3358131671029,0,15960,0,0,0,0,0,0,3375,35100,-1350,0,2130.72848733532,1230,-30,16.6806233961431,10.0910895165054,-240,173.478483319888,297.259235469614,-6.67224935845724,11.2611020511899,10.530927246422,"1 laboratory"
"ct_resultXdrive_thru_ind_factor1",0,0,7.5,-30,15,0,-1.82113545926096,0,-2.03950286612731,0,-780,0,0,0,0,0,0,337.5,-1350,675,0,-81.951095666743,15,15,1.66806233961431,-5.5469787016889,120,-6.67224935845724,-21.5193362155074,3.33612467922862,-5.63055102559493,-0.405035663323922,"1 laboratory"
"ct_resultXstd_ct_result",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
"ct_resultXstd_age",0,0,4.55283864815239,47.3495219407849,-1.82113545926096,0,2.87432977951394,0,4.87674660023915,0,968.844064326829,0,0,0,0,0,0,204.877739166858,2130.72848733532,-81.951095666743,0,129.344840078127,74.6665538296993,-1.82113545926096,1.0125891583098,0.612574698036152,-14.5690836740877,10.530927246422,18.0449778102172,-0.405035663323922,0.683599741859271,0.639274834245213,"1 laboratory"
"gendermaleXage",0,0,3.66666666666667,27.3333333333333,0.333333333333333,0,1.65925675177109,0,2.92022022544127,0,542.666666666667,0,0,0,0,0,0,165,1230,15,0,74.6665538296993,49.3333333333333,0.333333333333333,0.815497143811441,-0.162266611193678,2.66666666666667,6.07916052659438,9.40814775782313,0.0741361039828582,-0.125123356124332,0.369032493250684,"1 laboratory"
"gendermaleXdrive_thru_ind_factor1",0,0,0.166666666666667,-0.666666666666667,0.333333333333333,0,-0.0404696768724657,0,-0.0453222859139403,0,-17.3333333333333,0,0,0,0,0,0,7.5,-30,15,0,-1.82113545926096,0.333333333333333,0.333333333333333,0.0370680519914291,-0.123266193370864,2.66666666666667,-0.148272207965716,-0.478207471455719,0.0741361039828582,-0.125123356124332,-0.00900079251830937,"1 laboratory"
"gendermaleXstd_ct_result",0,0,0.0741361039828582,0.370680519914291,0.0370680519914291,0,0.0225019812957734,0,0.0420714951597042,0,6.96879377438867,0,0,0,0,0,0,3.33612467922862,16.6806233961431,1.66806233961431,0,1.0125891583098,0.815497143811441,0.0370680519914291,0.0164884857412715,-0.0143272856434889,0.296544415931433,0.0824424287063575,0.103879025889588,0.00824424287063575,-0.0139142372104765,0.00500462767549137,"1 laboratory"
"gendermaleXstd_age",0,0,-0.0644188408156332,0.224246433700121,-0.123266193370864,0,0.0136127710674701,0,0.0143997619373266,0,5.9641229944528,0,0,0,0,0,0,-2.89884783670349,10.0910895165054,-5.5469787016889,0,0.612574698036152,-0.162266611193678,-0.123266193370864,-0.0143272856434889,0.0456147047658658,-0.986129546966916,0.0498742707797319,0.168971627929546,-0.0274154259879405,0.0462704394337002,0.00302759343405841,"1 laboratory"
"ageXdrive_thru_ind_factor1",0,0,1.33333333333333,-5.33333333333333,2.66666666666667,0,-0.323757414979726,0,-0.362578287311522,0,-138.666666666667,0,0,0,0,0,0,60,-240,120,0,-14.5690836740877,2.66666666666667,2.66666666666667,0.296544415931433,-0.986129546966916,21.3333333333333,-1.18617766372573,-3.82565977164575,0.593088831862866,-1.00098684899465,-0.072006340146475,"1 laboratory"
"ageXstd_ct_result",0,0,0.370680519914291,3.85507740710863,-0.148272207965716,0,0.234020605476044,0,0.397052279900254,0,78.8808146377612,0,0,0,0,0,0,16.6806233961431,173.478483319888,-6.67224935845724,0,10.530927246422,6.07916052659438,-0.148272207965716,0.0824424287063575,0.0498742707797319,-1.18617766372573,0.857401258546118,1.46917610604268,-0.032976971482543,0.055656948841906,0.0520481278251103,"1 laboratory"
"ageXstd_age",0,0,0.467064494934915,6.60576078821364,-0.478207471455719,0,0.400999506893716,0,0.663355198156482,0,137.853705421741,0,0,0,0,0,0,21.0179022720712,297.259235469614,-21.5193362155074,0,18.0449778102172,9.40814775782313,-0.478207471455719,0.103879025889588,0.168971627929546,-3.82565977164575,1.46917610604268,2.68074143725779,-0.106357316487663,0.179504771256811,0.0891856234204421,"1 laboratory"
"drive_thru_ind_factor1Xstd_ct_result",0,0,0.0370680519914291,-0.148272207965716,0.0741361039828582,0,-0.00900079251830937,0,-0.0100800531037701,0,-3.85507740710863,0,0,0,0,0,0,1.66806233961431,-6.67224935845724,3.33612467922862,0,-0.405035663323922,0.0741361039828582,0.0741361039828582,0.00824424287063575,-0.0274154259879405,0.593088831862866,-0.032976971482543,-0.106357316487663,0.0164884857412715,-0.027828474420953,-0.00200185107019655,"1 laboratory"
"drive_thru_ind_factor1Xstd_age",0,0,-0.0625616780621659,0.250246712248664,-0.125123356124332,0,0.0151911053746505,0,0.0170126295623362,0,6.50641451846525,0,0,0,0,0,0,-2.81527551279746,11.2611020511899,-5.63055102559493,0,0.683599741859271,-0.125123356124332,-0.125123356124332,-0.0139142372104765,0.0462704394337002,-1.00098684899465,0.055656948841906,0.179504771256811,-0.027828474420953,0.0469675627434491,0.00337862810300893,"1 laboratory"
"std_ct_resultXstd_age",0,0,0.0225019812957734,0.234020605476044,-0.00900079251830937,0,0.0142061074276714,0,0.0241028662035587,0,4.78842161974059,0,0,0,0,0,0,1.0125891583098,10.530927246422,-0.405035663323922,0,0.639274834245213,0.369032493250684,-0.00900079251830937,0.00500462767549137,0.00302759343405841,-0.072006340146475,0.0520481278251103,0.0891856234204421,-0.00200185107019655,0.00337862810300893,0.0031595563723485,"1 laboratory"
"resultpositive.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"ct_result.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"gendermale.1",0,0,0.5,-2,0,0,-0.121409030617397,0,-0.15507746415192,0,-52,0,0,0,0,0,0,22.5,-90,0,0,-5.46340637778287,5.5,0,0.111204155974287,-0.0966282612234498,0,-0.444816623897149,-1.43462241436716,0,0,-0.0270023775549281,"3  laboratory"
"age.1",0,0,-2,8,0,0,0.485636122469589,0,0.620309856607679,0,208,0,0,0,0,0,0,-90,360,0,0,21.8536255111315,-22,0,-0.444816623897149,0.386513044893799,0,1.7792664955886,5.73848965746863,0,0,0.108009510219712,"3  laboratory"
"drive_thru_ind_factor1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"std_ct_result.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"std_age.1",0,0,-0.121409030617397,0.485636122469589,0,0,0.0294803054309122,0,0.0376556091865775,0,12.6265391842093,0,0,0,0,0,0,-5.46340637778287,21.8536255111315,0,0,1.32661374439105,-1.33549933679137,0,-0.0270023775549281,0.0234630870507673,0,0.108009510219712,0.348352233260613,0,0,0.00655666496661757,"3  laboratory"
"log_ct_result.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"log_age.1",0,0,-0.15507746415192,0.620309856607679,0,0,0.0376556091865775,0,0.0480980397755799,0,16.1280562717997,0,0,0,0,0,0,-6.97848588683639,27.9139435473455,0,0,1.69450241339599,-1.70585210567112,0,-0.0344905170232941,0.0299697314318837,0,0.137962068093176,0.444955212071127,0,0,0.00837492047458193,"3  laboratory"
"ct_result_sq.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"age_sq.1",0,0,-52,208,0,0,12.6265391842093,0,16.1280562717997,0,5408,0,0,0,0,0,0,-2340,9360,0,0,568.194263289419,-572,0,-11.5652322213259,10.0493391672388,0,46.2609288853035,149.200731094184,0,0,2.80824726571252,"3  laboratory"
"resultpositiveXct_result.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"resultpositiveXgendermale.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"resultpositiveXage.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"resultpositiveXdrive_thru_ind_factor1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"resultpositiveXstd_ct_result.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"resultpositiveXstd_age.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"ct_resultXgendermale.1",0,0,22.5,-90,0,0,-5.46340637778287,0,-6.97848588683639,0,-2340,0,0,0,0,0,0,1012.5,-4050,0,0,-245.853287000229,247.5,0,5.00418701884293,-4.34827175505524,0,-20.0167480753717,-64.5580086465221,0,0,-1.21510698997177,"3  laboratory"
"ct_resultXage.1",0,0,-90,360,0,0,21.8536255111315,0,27.9139435473455,0,9360,0,0,0,0,0,0,-4050,16200,0,0,983.413148000917,-990,0,-20.0167480753717,17.393087020221,0,80.0669923014869,258.232034586088,0,0,4.86042795988706,"3  laboratory"
"ct_resultXdrive_thru_ind_factor1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"ct_resultXstd_ct_result.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"ct_resultXstd_age.1",0,0,-5.46340637778287,21.8536255111315,0,0,1.32661374439105,0,1.69450241339599,0,568.194263289419,0,0,0,0,0,0,-245.853287000229,983.413148000917,0,0,59.6976184975971,-60.0974701556116,0,-1.21510698997177,1.05583891728453,0,4.86042795988706,15.6758504967276,0,0,0.295049923497791,"3  laboratory"
"gendermaleXage.1",0,0,5.5,-22,0,0,-1.33549933679137,0,-1.70585210567112,0,-572,0,0,0,0,0,0,247.5,-990,0,0,-60.0974701556116,60.5,0,1.22324571571716,-1.06291087345795,0,-4.89298286286864,-15.7808465580387,0,0,-0.297026153104209,"3  laboratory"
"gendermaleXdrive_thru_ind_factor1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"gendermaleXstd_ct_result.1",0,0,0.111204155974287,-0.444816623897149,0,0,-0.0270023775549281,0,-0.0344905170232941,0,-11.5652322213259,0,0,0,0,0,0,5.00418701884293,-20.0167480753717,0,0,-1.21510698997177,1.22324571571716,0,0.0247327286119073,-0.0214909284652334,0,-0.098930914447629,-0.319071949462988,0,0,-0.00600555321058964,"3  laboratory"
"gendermaleXstd_age.1",0,0,-0.0966282612234498,0.386513044893799,0,0,0.0234630870507673,0,0.0299697314318837,0,10.0493391672388,0,0,0,0,0,0,-4.34827175505524,17.393087020221,0,0,1.05583891728453,-1.06291087345795,0,-0.0214909284652334,0.0186740417341345,0,0.0859637138609336,0.277250138824972,0,0,0.00521838558406362,"3  laboratory"
"ageXdrive_thru_ind_factor1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"ageXstd_ct_result.1",0,0,-0.444816623897149,1.7792664955886,0,0,0.108009510219712,0,0.137962068093176,0,46.2609288853035,0,0,0,0,0,0,-20.0167480753717,80.0669923014869,0,0,4.86042795988706,-4.89298286286864,0,-0.098930914447629,0.0859637138609336,0,0.395723657790516,1.27628779785195,0,0,0.0240222128423586,"3  laboratory"
"ageXstd_age.1",0,0,-1.43462241436716,5.73848965746863,0,0,0.348352233260613,0,0.444955212071127,0,149.200731094184,0,0,0,0,0,0,-64.5580086465221,258.232034586088,0,0,15.6758504967276,-15.7808465580387,0,-0.319071949462988,0.277250138824972,0,1.27628779785195,4.11628294360931,0,0,0.0774764321630091,"3  laboratory"
"drive_thru_ind_factor1Xstd_ct_result.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"drive_thru_ind_factor1Xstd_age.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"std_ct_resultXstd_age.1",0,0,-0.0270023775549281,0.108009510219712,0,0,0.00655666496661757,0,0.00837492047458193,0,2.80824726571252,0,0,0,0,0,0,-1.21510698997177,4.86042795988706,0,0,0.295049923497791,-0.297026153104209,0,-0.00600555321058964,0.00521838558406362,0,0.0240222128423586,0.0774764321630091,0,0,0.00145825678723777,"3  laboratory"
"resultpositive.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"ct_result.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"gendermale.2",0,0,0.333333333333333,2.7,0,0,0.163902191333486,0,-0.310125390119168,0,118.673333333333,0,0,0,0,0,0,15,121.5,0,0,7.37559861000688,4.7,0,0.0741361039828582,-0.00169084166331137,0,0.600502442261152,4.87929046479265,0,0,0.036453209699153,"anes resource ctr"
"age.2",0,0,2.7,215.08,0,0,13.0563271525949,0,31.8323991771694,0,6409.776,0,0,0,0,0,0,121.5,9678.6,0,0,587.53472186677,231.28,0,0.600502442261152,11.7150235853208,0,47.8355797338994,203.917133790906,0,0,2.90383568225697,"anes resource ctr"
"drive_thru_ind_factor1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"std_ct_result.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"std_age.2",0,0,0.163902191333486,13.0563271525949,0,0,0.792578011510073,0,1.93237036316308,0,389.102345317329,0,0,0,0,0,0,7.37559861000688,587.53472186677,0,0,35.6660105179533,14.0397403005958,0,0.036453209699153,0.711154828576873,0,2.90383568225697,12.378690769916,0,0,0.176275937627513,"anes resource ctr"
"log_ct_result.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"log_age.2",0,0,-0.310125390119168,31.8323991771694,0,0,1.93237036316308,0,6.39349073102269,0,858.101657016971,0,0,0,0,0,0,-13.9556425553625,1432.45796297262,0,0,86.9566663423388,29.9716468364544,0,-0.0689744645087973,2.08643417504053,0,7.07979016626745,24.6827524138911,0,0,0.429775230530556,"anes resource ctr"
"ct_result_sq.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"age_sq.2",0,0,118.673333333333,6409.776,0,0,389.102345317329,0,858.101657016971,0,195898.400533333,0,0,0,0,0,0,5340.3,288439.92,0,0,17509.6055392798,7121.816,0,26.3939357399772,330.147913709809,0,1425.58746012849,6373.06063621108,0,0,86.5395957972585,"anes resource ctr"
"resultpositiveXct_result.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"resultpositiveXgendermale.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"resultpositiveXage.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"resultpositiveXdrive_thru_ind_factor1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"resultpositiveXstd_ct_result.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"resultpositiveXstd_age.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"ct_resultXgendermale.2",0,0,15,121.5,0,0,7.37559861000688,0,-13.9556425553625,0,5340.3,0,0,0,0,0,0,675,5467.5,0,0,331.901937450309,211.5,0,3.33612467922862,-0.0760878748490115,0,27.0226099017518,219.568070915669,0,0,1.64039443646188,"anes resource ctr"
"ct_resultXage.2",0,0,121.5,9678.6,0,0,587.53472186677,0,1432.45796297262,0,288439.92,0,0,0,0,0,0,5467.5,435537,0,0,26439.0624840046,10407.6,0,27.0226099017518,527.176061339437,0,2152.60108802547,9176.27102059076,0,0,130.672605701564,"anes resource ctr"
"ct_resultXdrive_thru_ind_factor1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"ct_resultXstd_ct_result.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"ct_resultXstd_age.2",0,0,7.37559861000688,587.53472186677,0,0,35.6660105179533,0,86.9566663423388,0,17509.6055392798,0,0,0,0,0,0,331.901937450309,26439.0624840046,0,0,1604.9704733079,631.788313526811,0,1.64039443646188,32.0019672859593,0,130.672605701564,557.041084646219,0,0,7.9324171932381,"anes resource ctr"
"gendermaleXage.2",0,0,4.7,231.28,0,0,14.0397403005958,0,29.9716468364544,0,7121.816,0,0,0,0,0,0,211.5,10407.6,0,0,631.788313526811,259.48,0,1.0453190661583,11.704878535341,0,51.4385943874664,233.192876579662,0,0,3.12255494045189,"anes resource ctr"
"gendermaleXdrive_thru_ind_factor1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"gendermaleXstd_ct_result.2",0,0,0.0741361039828582,0.600502442261152,0,0,0.036453209699153,0,-0.0689744645087973,0,26.3939357399772,0,0,0,0,0,0,3.33612467922862,27.0226099017518,0,0,1.64039443646188,1.0453190661583,0,0.0164884857412715,-0.000376057240109401,0,0.133556734504299,1.08519475578131,0,0,0.00810749683429602,"anes resource ctr"
"gendermaleXstd_age.2",0,0,-0.00169084166331137,11.7150235853208,0,0,0.711154828576873,0,2.08643417504053,0,330.147913709809,0,0,0,0,0,0,-0.0760878748490115,527.176061339437,0,0,32.0019672859593,11.704878535341,0,-0.000376057240109401,0.711994803374908,0,2.60551862004894,9.95476124910387,0,0,0.15816674495786,"anes resource ctr"
"ageXdrive_thru_ind_factor1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"ageXstd_ct_result.2",0,0,0.600502442261152,47.8355797338994,0,0,2.90383568225697,0,7.07979016626745,0,1425.58746012849,0,0,0,0,0,0,27.0226099017518,2152.60108802547,0,0,130.672605701564,51.4385943874664,0,0.133556734504299,2.60551862004894,0,10.639030539698,45.352865503827,0,0,0.64583719226681,"anes resource ctr"
"ageXstd_age.2",0,0,4.87929046479265,203.917133790906,0,0,12.378690769916,0,24.6827524138911,0,6373.06063621108,0,0,0,0,0,0,219.568070915669,9176.27102059076,0,0,557.041084646219,233.192876579662,0,1.08519475578131,9.95476124910387,0,45.352865503827,211.299642341295,0,0,2.75312371827041,"anes resource ctr"
"drive_thru_ind_factor1Xstd_ct_result.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"drive_thru_ind_factor1Xstd_age.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"std_ct_resultXstd_age.2",0,0,0.036453209699153,2.90383568225697,0,0,0.176275937627513,0,0.429775230530556,0,86.5395957972585,0,0,0,0,0,0,1.64039443646188,130.672605701564,0,0,7.9324171932381,3.12255494045189,0,0.00810749683429602,0.15816674495786,0,0.64583719226681,2.75312371827041,0,0,0.0392052337248875,"anes resource ctr"
"resultpositive.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"autopsy"
"ct_result.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"autopsy"
"gendermale.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"autopsy"
"age.3",0,0,0,92.94,0,0,5.64187765279044,0,20.4259261379696,0,1709.7804,0,0,0,0,0,0,0,4182.3,0,0,253.88449437557,92.94,0,0,5.64187765279044,0,20.6706285125005,23.769475089403,0,0,1.25480048497751,"autopsy"
"drive_thru_ind_factor1.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"autopsy"
